id,title,release_date,poster_path,overview,vote_average,original_title,original_language,backdrop_path,popularity,homepage,revenue,runtime,budget,youtube_key
436270,Black Adam,2022-10-19,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",6.9,Black Adam,en,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,6202.882,https://www.dc.com/BlackAdam,351000000,125,200000000,F_pYZ2HEW3E
505642,Black Panther: Wakanda Forever,2022-11-09,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",7.5,Black Panther: Wakanda Forever,en,/yYrvN5WFeGYjJnRzhY0QXuo4Isw.jpg,3492.065,https://wakandaforevertickets.com,365000000,162,250000000,kyMMq8Kz-8I
882598,Smile,2022-09-23,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",6.8,Smile,en,/olPXihyFeeNvnaD6IOBltgIV1FU.jpg,3910.444,https://www.smile.movie/,209981872,115,17000000,1aNyNI6P0U4
966220,Sniper: The White Raven,2022-05-03,/lZOODJzwuQo0etJJyBBZJOSdZcW.jpg,"Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.",7.4,Снайпер. Білий ворон,uk,/yNib9QAiyaopUJbaayKQ2xK7mYf.jpg,2403.163,,0,120,1000000,cZIhRHSXtyU
663712,Terrifier 2,2022-10-06,/b6IRp6Pl2Fsq37r9jFhGoLtaqHm.jpg,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",7,Terrifier 2,en,/y5Z0WesTjvn59jP6yo459eUsbli.jpg,2015.172,http://www.terrifier2themovie.com/,10155347,138,250000,x5DhuDSArTI
829280,Enola Holmes 2,2022-11-04,/tegBpjM5ODoYoM1NjaiHVLEA0QM.jpg,"Now a detective-for-hire like her infamous brother, Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends — and Sherlock himself — to unravel.",7.7,Enola Holmes 2,en,/u9Io1hVnxb2b3T0z99aOK8sq0SN.jpg,1787.272,https://www.netflix.com/title/81406219,0,129,0,Hefyw8HT6I0
676701,Tad the Lost Explorer and the Emerald Tablet,2022-08-24,/jvIVl8zdNSOAJImw1elQEzxStMN.jpg,"Tad would love for his archeologist colleagues to accept him as one of their own, but he always messes everything up. Tad accidentally destroys a sarcophagus and unleashes an ancient spell endangering the lives of his friends: Mummy, Jeff and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure that will take him from Mexico to Chicago and from Paris to Egypt, in order to put an end to the curse of the Mummy.",7.9,Tadeo Jones 3: La Tabla Esmeralda,es,/tUBN1paMQ1tmVA5Sjy1ZjPWVsiF.jpg,1833.372,,0,89,0,t07Nq-NL_jU
979924,On the Line,2022-10-31,/jVmWI8PqoVTHCnrLYAcyrclzeY0.jpg,A provocative and edgy radio host must play a dangerous game of cat and mouse with a mysterious caller who's kidnapped his family and is threatening to blow up the whole station.,6.4,On the Line,en,/f9g3R9gq0bASip9RnK2H56dbb5j.jpg,1471.212,,0,104,0,2YLEEBDUvNI
675054,MexZombies,2022-10-26,/85zufUxhD97k2s5Bu2u101Qd8Sg.jpg,"A group of teenagers must face a zombie apocalypse, and help reestablish order.",7.3,MexZombies,es,/b2FxWOxe9K7ZZ1uaPOze2RJ1ajq.jpg,1454.895,,0,93,0,Gzigc5NurEs
49046,All Quiet on the Western Front,2022-10-07,/hYqOjJ7Gh1fbqXrxlIao1g8ZehF.jpg,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.",7.8,Im Westen nichts Neues,de,/mqsPyyeDCBAghXyjbw4TfEYwljw.jpg,1183.135,https://www.netflix.com/title/81260280,0,147,0,3qP0Z04UrJY
